Datum,we1_meter,we2_meter,general_meter,pv_meter,sum_meter
2025-08-05 15:33:06,24.798,2.61,85.102,118.22793795630092,-5.717937956300915
2025-08-05 15:48:06,24.825,2.61,85.119,119.36535089778673,-6.811350897786724
2025-08-05 16:03:06,24.849,2.611,,120.47108325505445,-7.892083255054445
2025-08-05 16:03:07,,,85.14,121.54324590291992,-8.943245902919926
2025-08-05 16:18:05,,2.611,,122.58000706948435,-9.980007069484358
2025-08-05 16:18:06,24.859,,85.168,123.57959546568594,-10.941595465685936
2025-08-05 16:33:06,24.879,2.611,85.184,124.54030331151746,-11.866303311517456
2025-08-05 16:48:08,,,85.817,125.46048925373981,-12.15348925373982
2025-08-05 16:58:06,24.924,2.611,,126.33858117010644,-12.986581170106447
2025-08-05 17:03:06,,,86.653,127.17307885530789,-12.98507885530789
2025-08-05 17:18:05,24.937,2.611,,127.96255658404736,-13.761556584047355
2025-08-05 17:18:06,,,87.569,128.7056655468685,-13.588665546868484
2025-08-05 17:33:05,24.958,,88.486,129.40113615457363,-13.346136154573628
2025-08-05 17:48:06,24.985,2.612,,130.04778020729577,-13.964780207295775
2025-08-05 17:48:07,,,89.415,130.64449292451803,-13.632492924518033
2025-08-05 18:03:07,25.011,2.612,90.328,131.19025483257266,-13.23925483257267
2025-08-05 18:18:07,25.402,2.612,,131.6841335063947,-13.342133506394674
2025-08-05 18:18:08,,,91.205,132.1252851625545,-12.906285162554497
2025-08-05 18:33:07,25.62,,92.104,132.51295610084767,-12.176956100847676
2025-08-05 18:48:07,25.804,2.612,,132.84648399197917,-12.326483991979174
2025-08-05 18:48:08,,,93.019,133.1252990091418,-11.690299009141796
2025-08-05 19:03:07,25.816,2.612,,133.34892480155577,-11.901924801555765
2025-08-05 19:03:08,,,93.932,133.51697930830593,-11.156979308305935
2025-08-05 19:18:07,25.839,2.612,94.86,133.62917541108658,-10.318175411086571
2025-08-05 19:33:07,25.865,2.612,95.772,133.68532142473816,-9.436321424738168
2025-08-05 19:53:07,25.902,2.612,96.988,133.68532142473816,-8.183321424738153
2025-08-05 20:03:07,25.923,2.612,97.596,133.68532142473816,-7.554321424738163
2025-08-05 20:18:07,26.222,2.613,98.495,133.68532142473816,-6.35532142473815
2025-08-05 20:33:07,26.322,2.613,99.338,133.68532142473816,-5.412321424738167
2025-08-05 20:48:07,26.399,2.613,99.817,133.68532142473816,-4.856321424738155
2025-08-05 21:03:07,26.432,2.613,99.831,133.68532142473816,-4.809321424738158
2025-08-05 21:18:07,26.469,2.614,99.846,133.68532142473816,-4.756321424738161
2025-08-05 21:33:07,26.509,2.614,99.86,133.68532142473816,-4.702321424738159
2025-08-05 21:48:06,26.535,2.614,99.875,133.68532142473816,-4.661321424738162
2025-08-05 22:03:07,26.727,2.614,99.892,133.68532142473816,-4.452321424738159
2025-08-05 22:18:06,27.034,2.614,99.919,133.68532142473816,-4.118321424738156
2025-08-05 22:33:06,27.051,2.614,99.933,133.68532142473816,-4.08732142473815
2025-08-05 22:48:07,27.078,2.614,99.947,133.68532142473816,-4.046321424738153
2025-08-05 23:03:07,27.108,2.614,99.96,133.68532142473816,-4.003321424738175
2025-08-05 23:18:06,27.148,2.614,99.973,133.68532142473816,-3.9503214247381493
2025-08-05 23:33:07,27.161,2.615,99.986,133.68532142473816,-3.9233214247381625
2025-08-05 23:48:07,27.182,2.615,99.998,133.68532142473816,-3.890321424738147
2025-08-06 00:03:07,27.211,2.615,100.011,133.68532142473816,-3.848321424738174
2025-08-06 00:18:06,27.237,2.615,100.024,133.68532142473816,-3.809321424738158
2025-08-06 00:33:06,27.249,2.615,100.037,133.68532142473816,-3.7843214247381525
2025-08-06 00:48:06,27.267,2.615,100.049,133.68532142473816,-3.7543214247381513
2025-08-06 01:03:06,27.296,2.615,100.062,133.68532142473816,-3.7123214247381497
2025-08-06 01:18:07,27.319,2.615,100.075,133.68532142473816,-3.6763214247381484
2025-08-06 01:33:06,27.329,2.616,100.088,133.68532142473816,-3.652321424738176
2025-08-06 01:48:06,27.349,2.616,100.101,133.68532142473816,-3.6193214247381604
2025-08-06 02:03:07,27.375,,100.113,133.68532142473816,-3.581321424738178
2025-08-06 02:03:08,,2.616,,133.68532142473816,-3.581321424738178
2025-08-06 02:18:06,27.391,2.616,100.126,133.68532142473816,-3.552321424738153
2025-08-06 02:33:07,27.401,2.616,100.139,133.68532142473816,-3.529321424738157
2025-08-06 02:48:06,27.424,2.616,100.152,133.68532142473816,-3.4933214247381557
2025-08-06 03:03:07,27.451,2.616,100.166,133.68532142473816,-3.452321424738159
2025-08-06 03:18:06,27.466,2.616,100.181,133.68532142473816,-3.4223214247381577
2025-08-06 03:33:05,27.475,2.616,100.196,133.68532142473816,-3.398321424738157
2025-08-06 03:48:06,27.499,2.616,100.21,133.68532142473816,-3.3603214247381743
2025-08-06 04:03:06,27.526,2.617,100.226,133.68532142473816,-3.316321424738163
2025-08-06 04:18:06,27.539,2.617,100.24,133.68532142473816,-3.2893214247381763
2025-08-06 04:33:06,27.548,2.617,100.26,133.68532142473816,-3.2603214247381516
2025-08-06 04:48:06,27.573,2.617,100.285,133.68532142473816,-3.2103214247381686
2025-08-06 05:03:06,27.6,2.617,100.3,133.68532142473816,-3.168321424738167
2025-08-06 05:18:06,27.61,2.617,100.315,133.68532142473816,-3.1433214247381613
2025-08-06 05:33:07,27.619,2.617,100.33,133.68532142473816,-3.1193214247381604
2025-08-06 05:48:06,27.629,2.617,100.346,133.68532142473816,-3.09332142473815
2025-08-06 06:03:07,27.638,2.617,100.363,133.68532142473816,-3.067321424738168
2025-08-06 06:18:07,27.668,2.618,100.379,133.74452803011468,-3.0795280301146875
2025-08-06 06:33:07,27.691,2.618,100.396,133.86284008737562,-3.1578400873756323
2025-08-06 06:48:08,27.758,2.618,100.412,134.04005546235575,-3.2520554623557416
2025-08-06 07:03:07,27.809,2.618,100.429,134.27587138555967,-3.4198713855596736
2025-08-06 07:18:07,27.845,2.619,100.445,134.56988496943828,-3.6608849694382855
2025-08-06 07:33:06,27.899,2.619,,134.9215938967155,-3.958593896715513
2025-08-06 07:33:07,,,100.467,135.33039727858886,-4.345397278588848
2025-08-06 07:48:07,27.924,2.619,,135.7955966813379,-4.785596681337921
2025-08-06 07:48:08,,,100.494,136.31639731958663,-5.2793973195866215
2025-08-06 08:03:06,27.951,2.619,100.511,136.89190941418076,-5.81090941418077
2025-08-06 08:18:07,27.969,2.619,100.527,137.52114971236068,-6.406149712360673
2025-08-06 08:33:06,27.984,2.619,,138.20304316763222,-7.073043167632221
2025-08-06 08:33:07,,,100.544,138.93642477646554,-7.789424776465552
2025-08-06 08:48:07,28.014,2.619,100.56,139.72004156868414,-8.527041568684126
2025-08-06 09:03:06,28.043,,100.577,140.55255474814334,-9.313554748143332
2025-08-06 09:18:06,,,100.594,141.43254198004112,-10.176541980041122
2025-08-06 09:23:07,28.065,,,142.35849982095326,-11.080499820953264
2025-08-06 09:28:10,,2.62,,143.32884628744108,-12.049846287441085
2025-08-06 09:33:06,28.075,,100.61,144.3419235588438,-13.036923558843796
2025-08-06 09:48:07,28.105,2.62,100.627,145.39600080963717,-14.044000809637168
2025-08-06 10:03:07,28.133,2.62,100.643,146.48927716651997,-15.093277166519954
2025-08-06 10:18:06,28.144,2.62,100.668,147.6198847851757,-16.187884785175697
2025-08-06 10:33:07,28.162,2.62,100.693,148.78589204145342,-17.310892041453428
2025-08-06 10:48:07,28.19,2.621,100.716,149.98530683151506,-18.458306831515074
2025-08-06 11:03:07,28.207,2.621,100.733,151.21607997531152,-19.65507997531151
